Match_ID,Team1,Team2,Venue,Team1_Runs,Team2_Runs,Match_Winner,Toss_Winner,Toss_Decision,Key_Performance_Metric
1,PAK,AUS,Karachi,256,224,Team1,Team1,Bat,49
2,NZ,SA,Lord's,246,285,Team2,Team1,Bowl,5
3,IND,PAK,Karachi,353,388,Team2,Team2,Bowl,30
4,PAK,PAK,Lord's,272,247,Team1,Team1,Bat,60
5,AUS,IND,Sydney,225,367,Team1,Team2,Bowl,69
6,SA,SA,Sydney,377,314,Team2,Team1,Bowl,19
7,PAK,NZ,Cape Town,278,376,Team1,Team2,Bat,15
8,PAK,AUS,Cape Town,221,269,Team2,Team2,Bowl,47
9,AUS,IND,Lord's,245,298,Team1,Team2,Bat,92
10,PAK,SA,Lord's,221,212,Team1,Team1,Bat,76
11,IND,AUS,Mumbai,299,314,Team2,Team1,Bat,37
12,NZ,IND,Cape Town,342,220,Team1,Team1,Bowl,67
13,IND,NZ,Lord's,273,264,Team1,Team1,Bat,65
14,SA,ENG,Sydney,383,241,Team2,Team1,Bat,46
15,PAK,PAK,Lord's,361,217,Team1,Team1,Bat,12
16,AUS,IND,Lord's,274,296,Team2,Team1,Bowl,87
17,AUS,NZ,Karachi,271,302,Team1,Team2,Bowl,65
18,SA,AUS,Lord's,297,360,Team2,Team2,Bat,91
19,NZ,AUS,Sydney,391,351,Team1,Team2,Bowl,37
20,IND,ENG,Mumbai,278,387,Team1,Team2,Bat,68
21,PAK,AUS,Lord's,322,324,Team1,Team1,Bowl,32
22,SA,NZ,Cape Town,308,321,Team1,Team1,Bowl,81
23,SA,AUS,Cape Town,393,287,Team2,Team2,Bat,30
24,IND,PAK,Mumbai,228,335,Team2,Team2,Bowl,2
25,IND,PAK,Karachi,222,222,Team1,Team2,Bat,18
26,SA,AUS,Sydney,236,309,Team1,Team2,Bowl,49
27,SA,ENG,Mumbai,226,221,Team2,Team1,Bat,41
28,SA,ENG,Sydney,216,239,Team2,Team2,Bat,64
29,IND,SA,Mumbai,392,313,Team2,Team1,Bowl,60
30,PAK,IND,Sydney,242,371,Team1,Team1,Bowl,28
31,IND,NZ,Lord's,320,214,Team2,Team2,Bowl,69
32,NZ,AUS,Cape Town,215,249,Team1,Team2,Bat,30
33,IND,SA,Mumbai,396,201,Team1,Team1,Bowl,52
34,SA,IND,Lord's,267,329,Team1,Team2,Bowl,81
35,ENG,SA,Lord's,339,209,Team1,Team1,Bowl,29
36,PAK,NZ,Mumbai,348,241,Team2,Team1,Bowl,34
37,PAK,NZ,Mumbai,316,386,Team2,Team2,Bat,68
38,SA,AUS,Karachi,278,326,Team1,Team2,Bowl,64
39,PAK,IND,Lord's,260,324,Team1,Team2,Bat,82
40,ENG,SA,Mumbai,220,366,Team2,Team1,Bowl,71
41,SA,SA,Karachi,354,323,Team2,Team1,Bat,42
42,ENG,NZ,Lord's,394,367,Team2,Team1,Bat,30
43,ENG,NZ,Cape Town,380,214,Team1,Team2,Bowl,61
44,PAK,ENG,Lord's,381,273,Team1,Team2,Bowl,19
45,IND,SA,Cape Town,207,319,Team1,Team2,Bowl,43
46,SA,NZ,Sydney,379,223,Team1,Team1,Bowl,64
47,ENG,NZ,Lord's,280,397,Team1,Team2,Bowl,52
48,AUS,AUS,Sydney,337,296,Team2,Team1,Bowl,25
49,IND,NZ,Mumbai,297,397,Team1,Team2,Bowl,34
50,SA,SA,Mumbai,235,396,Team2,Team1,Bat,52
51,NZ,PAK,Karachi,240,282,Team2,Team2,Bowl,46
52,NZ,IND,Sydney,266,299,Team2,Team2,Bat,70
53,IND,AUS,Karachi,241,244,Team2,Team1,Bowl,26
54,PAK,IND,Lord's,240,338,Team2,Team2,Bat,18
