Player_ID,Player_Name,Team,Match_ID,Runs_Scored,Balls_Faced,Fours,Sixes,Wickets_Taken,Overs_Bowled,Maiden_Overs,Runs_Conceded,Catches,Runouts,Opposition,Venue,Match_Type,Date
1,Jordan Molina,NZ,138,51,89,10,9,1,0,2,79,0,2,NZ,Mumbai,T20,2024-06-07
2,Christopher Schultz,AUS,712,64,81,16,4,2,7,1,70,4,1,IND,Karachi,T20,2024-01-04
3,Rebecca Anderson,AUS,489,70,70,3,2,0,2,2,60,0,1,IND,Cape Town,Test,2024-06-02
4,Nathaniel Humphrey,NZ,385,95,115,12,7,1,3,0,55,0,2,SA,Sydney,Test,2023-09-11
5,Brandon Ortiz,IND,600,127,101,2,9,4,9,1,80,1,0,SA,Karachi,T20,2024-03-09
6,Tanya Eaton,ENG,277,108,19,5,9,3,7,0,48,2,0,AUS,Cape Town,T20,2023-12-18
7,Mary Hicks,AUS,608,42,82,15,6,0,1,0,58,0,1,PAK,Mumbai,Test,2024-05-12
8,Jason Dyer,PAK,446,131,26,17,3,3,7,0,54,2,1,AUS,Mumbai,ODI,2024-07-14
9,Natalie Vasquez,NZ,999,71,84,19,3,1,3,2,35,4,2,NZ,Lord's,ODI,2023-10-19
10,Laurie Smith,IND,886,42,86,18,5,3,6,2,70,2,2,ENG,Karachi,ODI,2024-07-29
11,Jessica Miller,NZ,650,68,67,8,1,2,7,1,10,1,2,AUS,Sydney,Test,2024-04-07
12,Ruth James,ENG,500,117,92,8,9,1,5,2,7,2,1,NZ,Sydney,ODI,2023-11-24
13,Joseph Boone,NZ,913,65,30,16,3,3,7,1,46,4,0,SA,Mumbai,Test,2024-08-07
14,David Landry,SA,651,144,0,14,5,4,9,2,68,0,0,NZ,Sydney,ODI,2023-10-02
15,Elizabeth Bennett,NZ,865,28,74,15,3,1,3,2,17,2,1,SA,Mumbai,Test,2023-12-13
16,Jody Steele,AUS,442,41,61,5,7,1,0,1,41,0,1,NZ,Cape Town,Test,2024-03-24
17,Vanessa Santiago,SA,594,124,33,14,0,3,3,1,86,1,1,ENG,Cape Town,T20,2023-10-18
18,Mark Delgado,AUS,530,58,30,11,5,2,0,0,33,4,1,AUS,Lord's,Test,2024-02-24
19,Brianna Williams,PAK,495,85,103,19,6,0,7,0,61,0,1,IND,Lord's,ODI,2024-08-23
20,Christopher Miller,PAK,897,126,92,4,6,2,3,0,86,2,0,PAK,Mumbai,Test,2024-03-06
21,Janet Davis,NZ,969,40,24,3,3,2,0,0,11,0,1,NZ,Cape Town,ODI,2023-09-03
22,Sonya Hill,SA,7,69,86,13,7,1,4,2,57,1,1,NZ,Cape Town,T20,2024-08-27
23,John Evans,ENG,52,101,97,4,3,3,4,2,34,0,2,NZ,Karachi,Test,2023-09-30
24,Brian Williams,NZ,282,32,50,9,9,1,7,1,80,1,1,NZ,Cape Town,T20,2023-09-02
25,Jean May,PAK,46,102,52,17,4,2,0,1,49,2,1,NZ,Cape Town,Test,2024-01-18
26,Kenneth Blanchard,SA,123,133,56,10,9,0,6,2,61,0,2,AUS,Sydney,ODI,2023-12-27
27,Alexandra Carroll,IND,348,138,85,6,8,3,0,0,55,0,1,AUS,Lord's,T20,2023-10-31
28,Patrick Owen,PAK,617,107,0,14,2,3,3,2,9,1,1,SA,Sydney,Test,2023-11-28
29,Sarah Johnson,PAK,262,140,38,2,7,0,0,1,70,0,0,NZ,Cape Town,T20,2023-12-21
30,Michael Lee,IND,8,104,67,2,3,1,7,2,57,3,1,ENG,Mumbai,T20,2024-02-10
31,Jennifer Smith,SA,644,75,27,10,4,0,8,2,34,0,0,ENG,Cape Town,T20,2023-12-23
32,Stephanie Ford,IND,647,43,102,13,0,3,2,2,9,4,1,AUS,Karachi,T20,2024-03-11
33,Dean Hernandez,NZ,209,44,40,9,8,0,2,2,34,0,1,NZ,Cape Town,T20,2024-02-18
34,Edwin Haley,AUS,956,21,13,15,7,3,2,2,18,3,0,ENG,Lord's,Test,2024-01-03
35,Bryan Simmons,ENG,178,47,9,13,0,1,0,2,71,2,0,SA,Sydney,T20,2023-11-26
36,Cheryl Hardy,PAK,417,76,8,12,2,3,2,0,37,1,1,SA,Mumbai,Test,2024-05-15
37,Rachel Durham,IND,747,94,56,5,0,0,5,0,40,1,0,SA,Karachi,T20,2023-10-23
38,Jerome Harper DDS,AUS,484,115,108,19,2,3,7,2,32,1,0,IND,Sydney,ODI,2023-12-04
39,Nicole Garner,NZ,867,57,2,16,3,2,3,0,78,2,1,PAK,Lord's,T20,2024-02-03
40,Ariel Lewis,AUS,489,71,68,11,6,2,9,1,9,2,2,AUS,Lord's,T20,2023-12-12
41,Kimberly Winters,PAK,210,67,91,12,2,4,2,1,73,4,0,NZ,Karachi,ODI,2024-01-30
42,Eric Nunez,SA,477,132,86,5,9,3,2,1,54,1,2,NZ,Cape Town,Test,2024-04-21
43,Colleen Morrison,IND,323,15,93,8,3,0,5,0,42,0,2,PAK,Sydney,ODI,2024-08-10
44,Timothy Santana,NZ,857,109,71,12,5,1,3,2,93,4,2,NZ,Mumbai,Test,2024-02-25
45,Joshua Williams,AUS,773,58,68,12,2,0,6,0,18,4,2,ENG,Cape Town,ODI,2024-08-15
46,Patrick Hood,AUS,719,120,116,0,3,4,2,1,28,1,2,ENG,Lord's,T20,2024-05-09
